"STATISTIC","Statistic Label","TLIST(M1)","Month","C02106V02545","Location","UNIT","VALUE"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M05","2018 May","5","Rural areas","%","100.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M06","2018 June","-","State","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M06","2018 June","1","Urban areas","%","101.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M06","2018 June","5","Rural areas","%","100.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M07","2018 July","-","State","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M07","2018 July","1","Urban areas","%","102"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M07","2018 July","5","Rural areas","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M08","2018 August","-","State","%","102.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M08","2018 August","1","Urban areas","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M08","2018 August","5","Rural areas","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M09","2018 September","-","State","%","101.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M09","2018 September","1","Urban areas","%","101.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M09","2018 September","5","Rural areas","%","101.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M10","2018 October","-","State","%","101.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M10","2018 October","1","Urban areas","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M10","2018 October","5","Rural areas","%","101"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M11","2018 November","-","State","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M11","2018 November","1","Urban areas","%","101.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M11","2018 November","5","Rural areas","%","100.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M12","2018 December","-","State","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M12","2018 December","1","Urban areas","%","101.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2018M12","2018 December","5","Rural areas","%","100.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M01","2019 January","-","State","%","100.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M01","2019 January","1","Urban areas","%","100.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M01","2019 January","5","Rural areas","%","99.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M02","2019 February","-","State","%","101.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M02","2019 February","1","Urban areas","%","101.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M02","2019 February","5","Rural areas","%","100.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M03","2019 March","-","State","%","102"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M03","2019 March","1","Urban areas","%","102.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M03","2019 March","5","Rural areas","%","101"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M04","2019 April","-","State","%","102.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M04","2019 April","1","Urban areas","%","102.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M04","2019 April","5","Rural areas","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M05","2019 May","-","State","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M05","2019 May","1","Urban areas","%","102.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M05","2019 May","5","Rural areas","%","101.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M06","2019 June","-","State","%","102.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M06","2019 June","1","Urban areas","%","102.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M06","2019 June","5","Rural areas","%","101.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M07","2019 July","-","State","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M07","2019 July","1","Urban areas","%","102.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M07","2019 July","5","Rural areas","%","101.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M08","2019 August","-","State","%","102.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M08","2019 August","1","Urban areas","%","103.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M08","2019 August","5","Rural areas","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M09","2019 September","-","State","%","102.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M09","2019 September","1","Urban areas","%","102.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M09","2019 September","5","Rural areas","%","101.6"
